id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
1105303461851883481,Downtown Brownstone with a View!,14817455,Matt,THIRD WARD,42.65749,-73.75263,Entire home/apt,140.0,7,0,170
1108060100336766656,downtown,539608284,Joyhefsiba,THIRD WARD,42.66141,-73.76361,Private room,54.0,30,0,364
1111221935683053416,Historical Pastures,418250661,Stephanie,THIRD WARD,42.6564469,-73.7507251,Entire home/apt,99.0,2,8,317
1119691401020641385,Serene 1BR Escape: Walk to Eateries & Parks in ALB,472965048,Corey,SIXTH WARD,42.65348,-73.7637,Entire home/apt,87.0,1,14,144
1119844407084108907,1 bed 1 bath Apartment,477328400,Tyler,SEVENTH WARD,42.64885,-73.76523,Entire home/apt,90.0,2,38,136
1120212616553191970,Garden Apt Guest Suite in Historic 1858 Row House,472965048,Corey,SIXTH WARD,42.65194,-73.76526,Entire home/apt,87.0,1,28,172
1121699903906738345,Cozy apartment in Albany,1761578,Grant,SIXTH WARD,42.65314,-73.76546,Entire home/apt,90.0,2,6,117
1123231471304541808,"Modern townhouse 2 Bedrooms, King Bed, parking",10279606,Noriyuki,FIFTEENTH WARD,42.66901,-73.82402,Entire home/apt,119.0,1,44,246
1124558577325015506,Charming 1BR Near Capitol-Dwntwn,46312980,Robert,SECOND WARD,42.646032,-73.760482,Entire home/apt,64.0,3,4,175
1124632058968031818,Modern Duplex - Historical Home,46312980,Robert,SECOND WARD,42.646032,-73.760482,Entire home/apt,94.0,3,5,44
1128332989288304495,Downtown Albany Vacation Rental - Chic & Walkable!,121680792,Evolve,THIRD WARD,42.65694,-73.75449,Entire home/apt,96.0,2,3,181
1128386510439836615,Welcome home travelers,502037254,Andrew,SEVENTH WARD,42.64893,-73.76886,Entire home/apt,75.0,25,2,147
